Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Derek Ernst,59.00,60.10,2016,294.60,66.18,29.65,60.52,72.08,159,,,-0.56,-0.68,0.15,-0.29,0.01,190736
John Senden,88.00,60.07,2016,289.70,68.86,29.48,59.13,70.72,577,,1,0.33,0.51,0.23,0.20,-0.25,989841
Sam Saunders,69.00,59.78,2016,291.80,64.36,29.18,56.59,71.43,324,,2,0.06,-0.23,-0.19,-0.11,0.00,510079
Cameron Tringale,81.00,59.57,2016,285.10,65.66,29.13,57.14,71.26,539,,1,0.06,-0.02,-0.44,0.26,0.10,1064066
D.A. Points,55.00,59.47,2016,282.30,65.36,29.18,57.86,71.66,167,,,-0.60,-0.41,-0.49,0.64,0.04,305250
Scott Piercy,87.00,59.41,2016,297.90,67.33,29.48,57.29,70.86,1077,,3,-0.29,0.19,0.45,0.04,-0.01,2905349
Sung Kang,89.00,59.36,2016,292.40,65.26,29.06,59.74,70.86,473,,2,0.19,0.00,-0.01,-0.12,-0.05,979576
Willy Wilcox,67.00,59.34,2016,292.90,63.42,28.74,58.18,71.06,399,,2,-0.03,-0.09,0.04,0.16,-0.26,676841
J.J. Henry,68.00,59.33,2016,287.30,67.51,30.45,53.11,72.02,162,,,-0.24,-0.71,-0.14,-0.23,-0.10,280674
Harold Varner III,92.00,59.33,2016,302.00,66.24,29.73,56.53,71.05,643,,4,-0.38,0.10,0.53,0.02,-0.07,1327320
Jeff Overton,69.00,59.25,2016,285.00,63.85,29.05,63.59,71.47,289,,1,-0.42,-0.49,-0.05,-0.16,0.13,410246
Greg Owen,85.00,59.22,2016,297.70,69.75,30.33,51.70,71.68,319,,1,-0.95,-0.42,0.28,0.53,-0.28,484955
Cameron Smith,73.00,59.21,2016,286.30,62.72,29.22,55.29,71.76,304,,,-0.06,-0.76,-0.36,-0.29,-0.06,477843
Brendon de Jonge,83.00,59.19,2016,287.50,65.64,29.25,56.49,71.60,304,,,0.16,-0.33,-0.23,-0.20,-0.06,415583
Freddie Jacobson,86.00,59.03,2016,280.30,64.86,28.48,60.29,70.81,714,,3,0.48,0.05,-0.35,-0.13,0.05,1354196
Martin Piller,59.00,58.97,2016,286.60,64.33,28.84,58.47,71.81,278,,2,0.56,-0.40,-0.25,-0.48,-0.23,570740
Sean O'Hair,89.00,58.84,2016,302.20,67.17,29.02,57.79,70.68,536,,1,0.21,0.37,0.33,-0.19,0.02,1702713
Rickie Fowler,80.00,58.69,2016,301.60,69.26,29.16,62.21,70.12,1131,,7,0.15,1.38,0.53,0.31,0.39,2713563
Brandt Snedeker,93.00,58.69,2016,292.60,65.67,28.66,62.73,70.20,1717,1,7,0.34,0.86,0.03,0.18,0.31,3960142
Daniel Summerhays,99.00,58.65,2016,288.00,63.02,28.54,57.21,70.77,963,,2,0.59,0.24,-0.13,-0.26,0.03,2045968
Michael Kim,100.00,58.64,2016,284.30,62.96,28.54,61.25,71.20,500,,,0.28,-0.09,-0.15,-0.11,-0.11,664539
Brooks Koepka,75.00,58.60,2016,302.60,66.98,28.81,55.53,69.96,1348,,7,0.45,1.09,0.54,0.14,-0.03,3322393
Steve Marino,72.00,58.46,2016,292.00,66.01,29.37,56.97,71.47,429,,2,0.05,-0.46,0.11,-0.34,-0.27,768200
Jason Kokrak,89.00,58.41,2016,307.40,68.66,29.64,58.37,70.57,721,,2,-0.27,0.56,0.60,0.43,-0.20,1934250
Stewart Cink,61.00,58.40,2016,296.90,70.40,30.18,53.54,70.85,331,,,-0.40,0.06,-0.05,0.49,0.02,437855
Shawn Stefani,91.00,58.40,2016,292.10,66.48,29.59,60.57,71.29,459,,1,-0.34,-0.14,0.00,0.07,0.12,698102
Hiroshi Iwata,85.00,58.34,2016,288.80,59.50,28.34,59.34,71.69,339,,1,0.15,-0.62,-0.13,-0.61,-0.04,634862
Jordan Spieth,80.00,58.14,2016,295.40,63.52,27.82,63.93,69.52,1965,2,6,0.76,1.57,0.40,0.15,0.26,5538470
Ángel Cabrera,62.00,58.06,2016,294.60,63.08,29.66,55.10,72.18,187,,,-0.35,-1.06,0.09,-0.25,-0.54,277118
Brendon Todd,66.00,58.02,2016,280.10,54.23,27.86,61.46,72.73,60,,,0.46,-1.59,-1.04,-1.42,0.41,75772
Tyler Aldridge,83.00,57.95,2016,285.20,65.54,29.43,57.96,71.41,384,,,-0.13,-0.24,-0.12,-0.03,0.04,517738
Justin Rose,65.00,57.90,2016,303.90,67.92,29.58,58.10,70.15,829,,5,-0.20,1.13,0.68,0.41,0.24,2085365
Ryan Palmer,86.00,57.88,2016,304.70,67.83,28.92,57.63,70.23,731,,2,-0.09,0.77,0.63,0.23,0.01,1794141
Morgan Hoffmann,71.00,57.80,2016,294.40,63.27,28.94,58.24,71.37,424,,1,0.21,-0.12,-0.07,-0.19,-0.06,717890
Jonas Blixt,79.00,57.79,2016,290.30,60.96,27.99,61.05,71.19,572,,2,0.52,-0.10,-0.29,-0.36,0.03,1115322
Patrick Rodgers,89.00,57.74,2016,300.50,69.22,29.75,58.17,70.83,739,,3,-0.19,0.31,0.36,-0.01,0.16,1290336
Matt Jones,83.00,57.55,2016,294.80,63.96,29.11,56.26,71.22,445,,,-0.31,-0.38,0.01,-0.27,0.19,712723
Robert Streb,87.00,57.48,2016,294.70,66.20,29.90,55.77,71.22,590,,1,-0.43,0.12,0.06,0.28,0.21,1003363
Chad Collins,73.00,57.41,2016,279.30,62.40,28.81,60.53,71.53,402,,1,0.00,-0.45,-0.63,-0.23,0.41,734548
Jamie Lovemark,91.00,57.32,2016,304.80,65.32,28.90,61.44,70.90,904,,5,0.14,0.46,0.53,-0.50,0.29,1940890
Bronson Burgoon,83.00,57.30,2016,293.10,66.24,29.30,58.33,71.13,428,,,0.02,-0.20,0.07,0.13,-0.42,557020
Nick Taylor,83.00,57.21,2016,296.20,65.82,29.00,59.26,71.28,441,,1,-0.15,-0.07,0.15,0.06,-0.12,628756
Dustin Johnson,87.00,57.17,2016,313.60,67.82,28.49,59.58,69.17,2701,2,12,0.33,1.99,1.12,0.48,0.07,9365185
Hunter Mahan,61.00,57.13,2016,294.80,62.75,29.16,55.26,72.11,174,,,0.29,-0.77,0.03,-0.79,-0.31,230694
Scott Stallings,74.00,56.95,2016,295.50,66.11,29.11,58.08,70.97,443,,1,-0.29,0.16,0.23,0.20,0.02,697434
Dawie van der Walt,72.00,56.89,2016,290.20,66.75,29.49,52.03,71.38,239,,,-0.06,-0.27,-0.01,0.21,-0.41,301697
Charl Schwartzel,73.00,56.86,2016,296.70,68.73,29.34,59.64,70.00,1127,1,3,-0.14,1.04,0.30,0.65,0.22,2936027
Vijay Singh,72.00,56.73,2016,289.80,62.73,29.01,56.52,71.06,586,,2,-0.09,0.13,0.02,-0.01,0.21,1210104
Luke Donald,81.00,56.69,2016,282.90,64.61,28.95,64.15,70.92,849,,2,0.15,0.38,-0.67,0.47,0.43,1634515
Gary Woodland,95.00,56.69,2016,306.10,68.74,29.26,60.16,70.23,907,,2,-0.13,0.97,0.55,0.46,0.09,2392044
Daniel Berger,92.00,56.68,2016,298.40,67.67,29.08,56.95,70.34,1254,1,5,0.18,0.89,0.33,0.49,-0.10,3290764
Chesson Hadley,81.00,56.58,2016,296.50,65.26,29.25,54.05,71.54,293,,,-0.17,-0.21,-0.04,0.13,-0.14,503993
Jhonattan Vegas,97.00,56.57,2016,304.40,69.71,29.68,58.97,70.90,1119,1,5,0.10,0.60,0.48,0.15,-0.12,2478980
Retief Goosen,55.00,56.40,2016,288.80,62.73,28.44,60.16,70.58,380,,,0.46,0.61,-0.39,0.08,0.46,745735
Anirban Lahiri,72.00,56.31,2016,291.70,62.88,28.88,56.40,71.14,494,,1,-0.02,0.07,0.03,0.14,-0.08,835171
Patrick Reed,105.00,55.96,2016,297.40,64.65,28.40,63.97,70.17,1575,,9,0.28,1.03,0.18,0.16,0.41,5679575
Tom Hoge,81.00,55.81,2016,289.50,62.48,28.83,58.46,71.44,349,,2,-0.07,-0.32,-0.32,0.24,-0.18,561559
Adam Scott,79.00,55.55,2016,304.60,70.76,29.50,59.50,69.47,2063,2,5,-0.17,1.89,0.52,1.49,0.05,6473090
Luke Guthrie,57.00,55.53,2016,289.30,63.13,28.29,60.55,71.42,234,,1,0.40,-0.44,-0.82,-0.08,0.05,427442
Aaron Baddeley,93.00,55.42,2016,291.70,63.11,28.06,64.30,70.89,874,1,5,0.58,0.23,-0.36,-0.38,0.40,1644915
Rob Oppenheim,67.00,55.28,2016,281.20,63.58,29.14,59.56,71.44,300,,1,-0.05,-0.32,-0.72,0.29,0.16,462427
Patton Kizzire,93.00,55.23,2016,291.30,64.48,28.88,56.24,70.92,760,,5,0.46,0.38,-0.34,0.37,-0.11,1468624
Branden Grace,63.00,55.14,2016,295.60,66.76,29.28,59.05,70.20,1187,1,6,-0.11,0.86,0.33,0.60,0.03,2878868
Martin Laird,82.00,55.14,2016,298.50,67.66,29.31,58.37,70.87,605,,3,0.16,0.30,-0.21,0.30,0.06,1224680
Bubba Watson,72.00,55.11,2016,310.60,69.16,29.78,52.74,70.33,1235,1,3,-0.37,0.99,0.98,0.39,-0.02,3492842
Robert Allenby,51.00,55.06,2016,282.20,63.73,30.41,50.75,73.12,9,,,-0.49,-1.95,-0.63,-0.46,-0.37,25271
Harris English,97.00,55.01,2016,299.20,64.83,28.88,60.10,70.46,1032,,3,0.59,0.57,-0.34,0.20,0.13,2014283
Phil Mickelson,75.00,54.82,2016,294.80,66.05,28.21,64.32,69.58,1532,,6,0.57,1.36,-0.15,0.73,0.22,4022628
Charley Hoffman,91.00,54.80,2016,298.20,64.58,29.17,57.75,70.66,1087,1,1,-0.04,0.56,0.50,0.19,-0.09,2350239
Andres Gonzales,80.00,54.55,2016,294.70,66.17,29.50,55.79,71.68,307,,1,0.01,-0.46,-0.22,-0.11,-0.14,579667
Ricky Barnes,97.00,54.27,2016,287.60,65.77,28.52,59.86,70.78,718,,4,0.39,0.30,-0.52,0.20,0.23,1158800
Justin Thomas,99.00,53.94,2016,301.30,65.63,29.28,55.56,70.57,1512,1,5,-0.19,0.32,0.03,0.49,-0.02,4126366
Robert Garrigus,69.00,53.91,2016,303.30,69.32,29.57,53.48,70.85,558,,3,-0.21,0.63,0.40,0.69,-0.24,1024900
Erik Compton,65.00,53.64,2016,284.70,58.64,28.30,56.93,71.88,236,,,-0.02,-0.70,-0.35,-0.39,0.07,247903
Ernie Els,66.00,52.93,2016,292.80,61.20,28.82,54.66,71.37,273,,1,0.41,-0.02,0.07,-0.48,-0.01,559024
Smylie Kaufman,91.00,52.91,2016,299.00,66.29,29.18,54.87,71.02,1181,1,4,0.13,0.32,0.08,0.07,0.04,2508174
Tyrone Van Aswegen,105.00,52.91,2016,288.00,64.81,29.15,60.84,71.19,550,,2,-0.08,-0.05,-0.50,0.54,-0.02,1025632
Carlos Ortiz,79.00,52.77,2016,298.90,64.44,29.47,50.00,71.91,238,,,-0.22,-0.70,-0.32,0.12,-0.28,263466
Charles Howell III,91.00,52.60,2016,303.40,68.01,29.08,60.88,70.42,931,,5,0.13,0.67,0.13,0.08,0.33,1974962
Tony Finau,95.00,52.48,2016,312.20,65.09,29.20,57.96,70.80,864,1,2,-0.11,0.12,0.46,-0.17,-0.05,1814790
Rhein Gibson,58.00,52.45,2016,297.50,68.11,29.96,54.84,72.09,113,,,-0.27,-0.71,-0.07,0.00,-0.38,155578
Camilo Villegas,83.00,52.18,2016,287.00,62.10,28.81,59.55,71.44,313,,,0.20,-0.37,-0.76,0.08,0.11,450056
Derek Fathauer,94.00,52.02,2016,288.20,62.00,28.50,59.10,71.07,491,,1,0.35,-0.40,-0.51,-0.23,-0.01,898430
J.B. Holmes,77.00,51.68,2016,314.50,65.17,28.84,56.68,70.52,956,,5,-0.15,0.48,0.63,-0.21,0.21,2969608
Luke List,79.00,50.98,2016,306.90,67.17,29.14,60.88,70.75,481,,2,-0.27,0.44,0.43,0.28,0.00,751001
Jason Day,76.00,50.46,2016,304.20,67.23,28.06,61.92,69.31,2735,3,9,1.13,2.12,0.19,0.43,0.38,8045112
Seung-Yul Noh,85.00,49.12,2016,295.30,64.54,28.90,57.25,71.06,454,,1,0.18,0.03,-0.64,0.11,0.37,661711
Jimmy Walker,85.00,48.31,2016,301.30,63.96,28.78,57.71,70.39,1352,1,4,0.24,0.89,-0.14,0.58,0.21,4148546
Andrew Loupe,75.00,45.56,2016,309.30,63.41,28.63,52.83,71.42,535,,4,0.30,-0.12,0.04,-0.30,-0.16,1075276
Steven Bowditch,71.00,43.02,2016,288.90,54.46,28.61,49.14,74.26,192,,1,0.13,-3.21,-1.62,-1.68,-0.04,458891
Francesco Molinari,56.00,76.88,2015,281.60,71.07,29.94,58.33,70.46,558,,2,-0.26,0.60,0.32,0.57,-0.04,997389
David Toms,62.00,74.50,2015,270.00,64.66,28.74,63.96,71.09,383,,2,-0.10,0.08,-0.04,-0.03,0.25,742470
Chez Reavie,56.00,71.89,2015,286.30,69.64,29.63,55.88,71.15,268,,,-0.26,0.08,0.38,0.30,-0.34,331623
Justin Leonard,61.00,71.70,2015,271.60,62.57,28.82,61.80,71.52,188,,,0.23,-0.31,-0.49,-0.22,0.17,219175
Jason Bohn,95.00,71.58,2015,277.10,68.89,28.54,60.90,70.24,1037,,5,0.24,0.78,0.02,0.56,-0.04,2337580
Steven Alker,62.00,71.41,2015,278.30,66.57,28.73,61.50,71.09,216,,,-0.15,0.02,-0.13,-0.11,0.41,236862
Colt Knost,90.00,71.24,2015,276.60,67.44,28.98,58.93,70.70,628,,4,0.35,0.20,-0.08,0.02,-0.09,1066553
Zach Johnson,90.00,71.21,2015,282.60,68.58,28.78,60.98,69.75,1559,1,8,0.04,1.12,0.24,0.61,0.24,4801487
Jerry Kelly,79.00,70.45,2015,277.20,65.96,28.46,64.46,70.38,632,,3,0.25,0.44,0.07,-0.05,0.17,1336607
Brendon Todd,96.00,70.24,2015,276.40,65.47,28.39,62.63,70.53,831,,4,0.58,0.83,-0.17,0.14,0.28,1809192
Ryan Moore,81.00,70.05,2015,282.60,65.24,28.51,60.25,70.83,1208,1,4,0.16,0.58,0.07,0.25,0.10,2642306
Henrik Stenson,63.00,69.91,2015,296.40,73.52,29.87,62.24,69.35,952,,4,0.44,2.21,0.45,1.24,0.08,4755070
Heath Slocum,57.00,69.51,2015,275.80,62.79,29.25,56.90,72.36,62,,,-0.59,-1.56,-0.23,-0.76,0.02,122480
John Huh,102.00,69.44,2015,279.80,64.85,28.71,62.60,71.04,565,,,0.28,0.09,-0.04,-0.12,-0.03,678556
Brian Stuard,97.00,69.31,2015,276.50,63.20,28.57,60.23,71.34,447,,1,0.12,-0.24,-0.10,-0.20,-0.05,687109
Spencer Levin,99.00,69.09,2015,283.70,68.27,29.60,59.75,70.84,496,,1,-0.07,0.07,0.20,0.18,-0.25,836698
Jim Furyk,71.00,69.08,2015,281.90,69.79,29.39,62.93,69.85,1401,1,6,-0.02,1.63,0.06,1.08,0.51,3732664
Willy Wilcox,58.00,68.98,2015,296.60,72.53,29.46,62.55,69.80,649,,4,0.32,1.19,0.66,0.14,0.06,1168302
Nicholas Thompson,90.00,68.70,2015,286.00,68.60,29.81,52.06,71.40,442,,1,-0.49,-0.71,0.37,-0.14,-0.45,667185
Kevin Streelman,95.00,68.63,2015,289.50,68.99,29.65,58.66,71.28,771,,2,-0.22,0.13,0.56,0.01,-0.22,1525774
Cameron Tringale,96.00,68.50,2015,281.80,64.58,29.00,62.09,70.92,816,,2,0.13,0.37,-0.07,-0.05,0.37,1837164
John Merrick,78.00,68.32,2015,285.00,67.64,29.65,57.31,71.33,311,,,-0.78,-0.36,0.06,0.36,0.01,391513
Zac Blair,108.00,67.91,2015,273.10,65.54,28.68,64.81,70.71,538,,1,0.53,0.17,-0.30,-0.19,0.13,1244676
Ken Duke,93.00,67.91,2015,278.10,64.17,29.01,58.71,71.31,493,,3,-0.22,-0.38,0.07,0.03,-0.25,817675
William McGirt,103.00,67.87,2015,280.40,67.85,28.96,64.09,70.65,652,,1,0.06,0.46,0.09,0.06,0.25,1004696
Webb Simpson,81.00,67.85,2015,289.40,67.81,29.35,64.38,70.31,953,,5,-0.65,0.70,0.23,0.58,0.54,2046260
Jason Dufner,76.00,67.81,2015,286.70,69.03,29.60,55.28,70.63,546,,2,-0.70,0.22,0.24,0.40,0.28,1007997
Russell Knox,96.00,67.76,2015,284.40,70.83,29.56,59.92,70.42,914,,3,-0.02,0.81,0.10,0.62,0.11,1916666
Brian Davis,86.00,67.66,2015,275.50,62.26,28.51,60.68,71.66,387,,2,0.08,-0.51,-0.12,-0.50,0.03,656534
John Peterson,84.00,67.52,2015,288.10,68.32,29.21,63.47,70.74,588,,,-0.18,0.25,0.33,0.28,-0.18,779509
Ben Crane,62.00,67.49,2015,271.00,63.22,28.95,61.98,71.98,182,,,0.20,-0.56,-0.30,-0.49,0.03,203254
Jon Curran,83.00,67.46,2015,273.50,66.39,29.28,61.72,70.85,540,,5,-0.03,-0.09,-0.41,0.08,0.27,1049549
Jim Herman,88.00,67.10,2015,293.80,73.23,30.22,58.02,70.72,610,,2,-0.03,0.38,0.47,0.29,-0.35,1212778
Kevin Kisner,104.00,66.85,2015,287.80,66.24,28.72,62.66,70.34,1416,,6,0.24,0.63,0.32,0.14,-0.07,3567939
Bryce Molder,91.00,66.80,2015,277.90,65.45,28.68,62.85,70.78,595,,2,0.51,0.19,-0.29,-0.18,0.16,1165547
Jason Gore,76.00,66.67,2015,290.40,67.52,29.40,54.87,71.27,564,,2,-0.07,0.09,0.28,0.27,-0.39,1101246
John Senden,80.00,66.60,2015,290.20,67.26,29.53,55.20,71.09,610,,3,-0.06,0.08,0.33,-0.17,-0.02,1422033
Mark Hubbard,79.00,66.32,2015,278.50,66.81,29.23,61.52,71.23,274,,,-0.10,-0.38,-0.06,-0.35,0.13,293980
Billy Hurley III,83.00,65.91,2015,271.90,65.26,28.84,64.17,71.04,420,,1,0.31,-0.11,-0.64,0.11,0.10,591450
Roberto Castro,54.00,65.76,2015,279.80,66.11,29.80,54.43,71.33,167,,,-0.73,-0.12,0.08,0.35,0.19,179723
Chad Campbell,97.00,65.75,2015,285.20,68.61,29.41,59.31,70.60,670,,2,-0.05,0.44,0.13,0.19,0.16,1015707
Sung Joon Park,79.00,65.73,2015,283.70,64.72,29.23,64.42,71.47,426,,1,-0.42,-0.59,0.10,-0.33,0.06,597103
Pat Perez,96.00,65.70,2015,284.60,67.88,28.71,60.00,70.67,825,,2,0.36,0.59,-0.01,0.19,0.05,1588664
Brendon de Jonge,106.00,65.69,2015,285.30,67.51,29.03,59.19,70.64,892,,3,-0.01,0.31,0.28,0.20,-0.15,1594935
Jonathan Byrd,69.00,65.60,2015,287.50,67.35,28.94,64.92,70.83,335,,,0.08,0.23,-0.15,-0.30,0.60,446732
David Lingmerth,90.00,65.51,2015,289.50,64.94,28.66,61.27,70.80,1305,1,4,0.04,0.41,0.38,0.01,-0.03,2736378
Graham DeLaet,65.00,65.46,2015,298.70,69.15,29.26,57.34,70.72,545,,3,-0.01,0.29,0.03,0.33,-0.06,988349
Adam Hadwin,95.00,65.43,2015,288.20,66.55,29.15,58.39,71.02,584,,3,0.24,0.18,0.09,-0.18,0.04,937611
Hideki Matsuyama,95.00,65.25,2015,294.50,69.20,28.79,61.92,69.94,1374,,8,0.08,1.46,0.50,0.64,0.25,3758619
Ben Martin,93.00,65.09,2015,288.10,68.70,29.64,54.04,70.95,1217,1,5,0.13,0.28,-0.02,0.27,-0.10,2717305
Davis Love III,51.00,64.94,2015,294.70,67.43,29.67,57.19,71.29,649,1,2,-0.35,-0.38,0.19,-0.34,0.12,1263596
Keegan Bradley,87.00,64.85,2015,306.10,67.53,29.49,58.25,70.45,759,,3,-0.07,1.02,0.44,0.39,0.26,1565079
Mark Wilson,89.00,64.53,2015,279.20,67.84,29.35,60.37,70.99,497,,3,-0.07,0.03,-0.30,0.01,0.38,851845
Russell Henley,87.00,64.39,2015,297.10,67.06,29.01,57.43,70.58,986,,4,0.58,0.46,0.34,-0.27,-0.19,2110774
Brian Harman,90.00,64.37,2015,287.90,66.67,29.09,59.63,70.65,704,,3,0.24,0.41,0.32,-0.18,0.03,1548352
Derek Ernst,75.00,64.30,2015,295.10,66.51,29.70,57.24,71.45,250,,,-0.52,-0.53,0.68,-0.55,-0.14,320095
Chris Stroud,84.00,64.22,2015,283.00,65.67,28.95,59.92,71.19,531,,2,-0.18,0.00,-0.25,0.13,0.30,746814
Paul Casey,87.00,64.16,2015,297.80,72.36,29.77,56.13,69.81,1389,,7,0.01,1.22,0.39,0.99,-0.18,3488311
David Hearn,97.00,64.16,2015,280.60,67.98,28.93,57.42,70.84,890,,4,0.36,0.36,-0.22,0.24,-0.03,1817043
George McNeill,93.00,64.10,2015,286.20,66.43,29.01,61.21,70.48,715,,1,0.21,0.56,-0.22,0.65,-0.07,1331768
K.J. Choi,66.00,64.09,2015,276.50,63.80,28.71,63.12,71.37,358,,,0.42,0.26,-0.52,0.15,0.21,448864
Sam Saunders,83.00,64.00,2015,293.20,65.23,29.37,57.79,71.67,413,,1,-0.14,-0.50,0.31,-0.29,-0.37,578571
Danny Lee,120.00,63.92,2015,283.10,65.69,28.27,60.86,70.40,1561,1,7,0.37,0.73,-0.30,0.72,-0.06,3965933
Justin Rose,69.00,63.87,2015,303.50,70.54,29.17,59.14,69.74,1742,1,7,0.02,1.49,0.55,0.69,0.23,5462677
Kevin Chappell,86.00,63.86,2015,293.50,66.02,28.95,59.32,70.67,602,,2,0.17,0.37,0.16,-0.11,0.15,1281552
Chad Collins,79.00,63.82,2015,278.40,66.10,28.56,66.18,70.68,504,,1,0.01,0.21,-0.25,0.25,0.21,747899
Lucas Glover,79.00,63.82,2015,296.90,70.46,30.54,55.00,71.29,375,,,-1.35,-0.18,0.59,0.69,-0.11,515241
Alex Cejka,94.00,63.78,2015,283.30,65.70,28.93,60.39,71.12,739,1,1,-0.23,-0.22,-0.23,0.11,0.14,1227196
Billy Horschel,99.00,63.77,2015,295.00,69.33,29.71,57.61,71.05,903,,2,0.24,0.45,0.37,0.14,-0.30,1735751
Blayne Barber,76.00,63.72,2015,288.60,66.44,28.89,59.51,71.13,380,,4,0.31,0.02,0.21,-0.35,-0.15,768383
Bill Lunde,50.00,63.59,2015,287.70,68.72,30.02,57.53,71.80,117,,,-0.52,-1.24,0.11,-0.59,-0.24,128788
Ian Poulter,68.00,63.58,2015,286.70,65.71,28.81,60.76,70.42,777,,4,0.23,0.55,-0.05,0.24,0.15,1690587
Bill Haas,89.00,63.35,2015,290.70,68.80,29.58,61.90,70.67,1281,1,5,-0.23,0.46,0.14,0.42,0.13,3064024
Hudson Swafford,97.00,63.34,2015,298.90,68.54,29.32,55.39,70.73,554,,1,0.36,0.34,0.27,0.11,-0.40,959391
Boo Weekley,79.00,63.27,2015,292.00,67.72,29.27,59.91,70.78,776,,6,-0.25,0.43,0.55,0.11,0.02,1689914
Matt Kuchar,97.00,63.23,2015,288.50,66.55,28.39,63.78,70.04,1164,,5,0.32,1.13,0.14,0.20,0.48,2774170
Tim Wilkinson,73.00,63.09,2015,279.10,62.44,28.92,58.33,71.94,183,,,-0.28,-0.85,-0.33,-0.52,0.28,171654
Robert Allenby,63.00,63.06,2015,282.70,66.67,30.03,51.69,72.10,169,,1,-0.75,-0.97,-0.26,0.26,-0.21,271887
Steve Wheatcroft,87.00,63.03,2015,288.30,64.59,28.59,60.68,71.07,536,,2,0.35,-0.04,0.15,-0.45,-0.08,973024
Jordan Spieth,91.00,62.91,2015,291.80,67.87,27.82,65.03,68.94,4169,4,14,0.57,2.15,0.49,0.62,0.47,12030465
Troy Merritt,91.00,62.83,2015,285.20,63.37,28.59,61.83,71.46,930,1,3,0.38,-0.20,-0.33,-0.20,-0.05,2092669
Scott Brown,97.00,62.77,2015,288.20,65.18,28.56,60.69,70.80,690,,3,-0.03,0.19,0.30,0.03,-0.11,1161750
Charlie Beljan,76.00,62.61,2015,309.80,65.51,29.97,48.77,72.01,369,,1,-0.80,-0.93,0.58,-0.29,-0.42,782546
Kevin Na,98.00,62.51,2015,280.10,64.56,28.35,62.87,70.12,1062,,6,0.23,0.94,-0.33,0.38,0.66,2820766
Greg Chalmers,58.00,62.17,2015,281.50,63.79,28.59,57.39,71.36,242,,,0.53,-0.61,-0.32,-0.78,-0.03,291016
Johnson Wagner,68.00,62.11,2015,290.70,68.95,29.37,59.47,70.81,551,,3,0.20,0.10,-0.01,0.11,-0.20,1131659
Rickie Fowler,76.00,62.08,2015,296.80,65.81,28.44,61.10,70.23,1498,1,5,0.31,1.09,0.12,0.59,0.07,5773430
Shawn Stefani,94.00,62.06,2015,296.30,68.79,29.02,56.44,70.42,987,,3,0.07,0.50,0.33,0.28,-0.19,1757803
Alex Prugh,84.00,62.03,2015,295.20,70.14,30.04,53.02,71.09,433,,2,-0.06,0.00,0.32,-0.09,-0.18,636373
Chris Kirk,76.00,61.97,2015,285.80,64.54,28.60,60.30,70.96,1087,1,3,0.07,0.41,-0.15,0.30,0.20,2369326
Scott Langley,94.00,61.90,2015,280.50,64.67,28.99,59.15,71.03,448,,,0.02,0.13,-0.13,0.06,0.18,638182
Daniel Summerhays,101.00,61.79,2015,284.00,65.62,28.54,57.76,70.40,720,,3,0.64,0.54,-0.11,0.19,-0.19,1633957
Oscar Fraustro,58.00,61.78,2015,289.50,63.17,28.81,56.42,72.08,171,,1,-0.28,-1.32,0.26,-0.64,-0.66,262475
Kyle Reifers,96.00,61.59,2015,288.00,67.03,29.16,61.36,70.85,626,,2,0.04,0.14,0.11,-0.08,0.08,1179228
Michael Putnam,87.00,61.47,2015,288.80,70.13,29.84,59.08,71.16,407,,,-0.53,-0.15,-0.03,0.42,-0.02,557803
Brice Garnett,81.00,61.25,2015,287.10,68.28,29.77,55.65,71.45,398,,1,-0.09,-0.53,-0.20,-0.33,0.08,637789
Brendan Steele,88.00,61.13,2015,302.90,68.52,29.13,60.08,70.41,895,,4,-0.05,0.96,0.36,0.60,0.04,1759484
Nick Watney,91.00,61.08,2015,294.00,67.34,29.32,58.69,70.68,847,,3,-0.40,0.26,0.31,0.24,0.11,1733873
Brandt Snedeker,98.00,60.98,2015,288.40,64.97,28.26,63.27,70.16,1537,1,8,0.59,0.61,-0.13,-0.20,0.34,3698056
Gonzalo Fernandez-Castaño,81.00,60.97,2015,289.30,63.92,29.10,57.80,71.50,272,,,-0.52,-0.65,0.19,-0.50,0.18,312053
Scott Pinckney,88.00,60.95,2015,290.30,67.61,29.48,55.75,71.10,645,,3,0.29,-0.13,0.12,-0.41,-0.14,1259389
Fabián Gómez,83.00,60.88,2015,283.20,63.52,28.72,58.72,71.21,797,1,2,0.06,-0.32,-0.22,-0.06,-0.11,1651012
Charl Schwartzel,67.00,60.81,2015,300.40,64.99,29.57,54.66,71.09,584,,3,-0.56,0.07,0.67,-0.13,0.09,1209528
Daniel Berger,97.00,60.74,2015,302.10,68.84,29.23,60.66,70.58,899,,5,-0.19,0.49,0.37,0.53,-0.22,3028901
Sean O'Hair,86.00,60.74,2015,295.30,64.34,28.42,59.42,71.03,719,,2,0.17,0.18,0.15,-0.28,0.14,1662300
Bo Van Pelt,81.00,60.73,2015,289.50,66.88,29.54,55.84,71.50,322,,2,0.12,-0.25,-0.30,0.05,-0.13,580611
Adam Scott,51.00,60.69,2015,311.60,69.62,30.11,54.09,70.46,585,,3,-0.40,0.21,0.68,0.11,-0.20,1382365
Whee Kim,71.00,60.40,2015,282.40,68.20,29.07,57.72,71.10,393,,2,-0.09,-0.01,-0.20,0.32,-0.04,755998
