Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
K.J. Choi,85.00,66.04,2013,278.30,65.87,29.12,62.98,70.32,666,,2,0.34,0.85,0.10,0.15,0.26,973751
Brian Stuard,78.00,65.99,2013,281.80,65.77,29.31,60.31,70.87,583,,4,0.07,-0.07,-0.13,0.12,-0.13,1032028
Bryce Molder,82.00,65.95,2013,273.80,63.68,28.40,61.76,70.52,504,,,0.59,0.50,-0.54,0.05,0.40,816922
Graham DeLaet,94.00,65.80,2013,298.60,70.51,29.63,59.72,70.09,856,,5,0.10,1.07,0.49,0.64,-0.16,2834900
Jason Bohn,70.00,65.74,2013,276.30,64.44,28.79,54.69,71.10,454,,2,0.19,-0.03,-0.16,0.03,-0.10,739030
George McNeill,68.00,65.62,2013,286.00,65.28,29.40,59.76,70.88,399,,,-0.03,0.19,-0.01,0.26,-0.03,500798
Vaughn Taylor,50.00,65.32,2013,289.80,63.53,28.61,56.95,70.90,246,,1,0.10,-0.04,-0.04,0.15,-0.25,399286
Dicky Pride,71.00,65.24,2013,274.80,64.43,29.07,59.44,71.29,293,,2,-0.01,-0.36,-0.37,0.01,0.00,495390
J.J. Henry,83.00,64.93,2013,284.70,67.97,30.00,56.53,70.99,516,,2,0.15,0.07,0.14,-0.12,-0.09,761861
David Lingmerth,68.00,64.87,2013,285.80,63.24,28.88,58.44,71.00,806,,3,-0.01,0.02,0.30,-0.26,-0.02,1748109
Jason Dufner,78.00,64.81,2013,285.90,67.53,29.40,59.11,69.91,1256,1,3,-0.23,0.58,0.48,0.44,-0.10,3132268
Brian Gay,79.00,64.79,2013,275.10,56.68,27.51,63.80,71.16,744,1,1,0.43,-0.27,-0.58,-0.45,0.34,1426017
Brandt Jobe,62.00,64.78,2013,292.10,66.00,29.69,54.65,71.18,283,,,0.00,0.12,0.10,0.21,-0.19,309105
Tom Gillis,69.00,64.75,2013,286.30,60.68,29.02,60.22,71.56,264,,,0.17,-0.54,0.06,-0.91,0.13,345325
Matt Jones,83.00,64.74,2013,292.30,66.00,28.89,63.98,70.25,836,,4,0.15,0.89,0.40,0.12,0.22,1724707
Nicholas Thompson,99.00,64.74,2013,291.60,67.85,29.58,56.89,70.92,585,,2,-0.28,0.23,0.42,0.37,-0.29,959434
Russell Henley,80.00,64.68,2013,289.00,64.25,28.94,57.17,70.57,1048,1,3,0.61,0.75,0.43,-0.05,-0.23,2008026
Justin Leonard,86.00,64.36,2013,276.30,63.11,28.38,59.02,70.86,536,,1,0.35,0.12,-0.34,-0.26,0.36,694139
Kevin Stadler,83.00,64.21,2013,289.80,68.92,29.51,54.75,70.63,547,,2,-0.28,0.47,0.41,0.45,-0.11,1281177
Billy Horschel,96.00,64.17,2013,293.80,67.48,29.14,55.69,70.24,1487,1,7,0.38,0.66,0.47,-0.12,-0.07,3501703
Bo Van Pelt,72.00,63.80,2013,285.90,65.63,29.59,53.35,71.08,542,,1,-0.18,-0.07,0.19,0.03,-0.10,956629
Justin Rose,62.00,63.57,2013,296.60,68.89,29.30,60.71,69.23,1447,1,5,-0.19,1.72,0.46,0.96,0.49,4146148
